sligh96.dck	R	5e	Sligh — mono-red burn aggro (Ironclaw Orcs, Fireblast)
necro96.dck	B	5e	Necrodeck — Necropotence, Ritual, Hyppie, Drain Life
whiteweenie95.dck	W	5e	White Weenie — Lions, Knights, Crusade, Geddon
erhnamgeddon.dck	WG	5e	Erhnamgeddon — Erhnam Djinn + Armageddon
ubdiscard.dck	UB	5e	Hymn Tempo — Hymn, Hyppie, Counterspell
rgponza.dck	RG	5e	RG Land Destruction — Lumberjack, Stone Rain, Pillage
urcounterburn.dck	UR	5e	Counterburn — Counterspell + Bolt/Fireball
gstompy5e.dck	G	5e	Green Stompy — elves, Boa, Quirion Ranger, Winter Orb
braggro.dck	BR	5e	Black Red Beats — Knights, Hyppie, Ball Lightning
wucounterpost.dck	WU	5e	Counterpost — Kjeldoran Outpost control
zoo90s.dck	WRG	5e	Zoo — Kird Ape, Lions, burn
wbknights.dck	WB	5e	Knights — WW/BB knights, Hymn, Swords
rwgeddon.dck	WR	5e	Geddon Aggro — white weenie + burn + Armageddon
sligh98.dck	R	6e	Sligh 98 — Jackal Pup, Cursed Scroll
udrawgo.dck	U	6e	Draw-Go — pure permission, Whispers, Forbid
countersliver.dck	WUG	6e	Counter-Sliver — Crystalline shell + permission
recsur.dck	BG	6e	Recurring Survival — Survival, Rec Nightmare, Living Death
wweenie98.dck	W	6e	White Lightning — Soltari shadow + Empyrial Armor
gstompy98.dck	G	6e	Stompy 98 — Rogue Elephant, Rancor, Cradle
tradewind.dck	UG	6e	Tradewind Tempo — Rider, Man-o'-War, Winter Orb
suicideblack.dck	B	6e	Suicide Black — Carnophage, Dauthi, Hatred
urphoenix.dck	UR	6e	Counter-Phoenix — Shard Phoenix + permission burn
